particle_id,frame_num,particle_num,time_stamp_s,ecd_um,area_pixels,perimeter,circularity,intensity_mean,intensity_std,intensity_min,intensity_max,max_feret_diam_um,aspect_ratio,x_left,x_right,y_top,y_bottom,edge_particle,experiment,step,type
132,22,6,2.293,21.375,339,70.53,0.93,332.68,280.61,22,798,21.375,0.91,1210,1231,803,822,FALSE,MTB_20190208_PICTS_190208-0002,14 Glycerol Test_5200-3196_190211-105756,air bubble
161,26,3,2.729,32.125,655,97.25,0.93,196.91,258.52,0,798,31.125,0.99,497,525,302,330,FALSE,MTB_20190208_PICTS_190208-0002,14 Glycerol Test_5200-3196_190211-105756,air bubble
174,27,5,2.839,33.125,685,101.5,0.91,188.58,254.32,0,796,32.125,0.98,657,686,733,761,FALSE,MTB_20190208_PICTS_190208-0002,14 Glycerol Test_5200-3196_190211-105756,air bubble
256,42,3,4.477,13.625,180,51.87,0.92,394.17,271.26,40,798,14.125,0.91,1045,1060,849,863,FALSE,MTB_20190208_PICTS_190208-0002,14 Glycerol Test_5200-3196_190211-105756,air bubble
284,47,5,5.023,33.125,687,100.5,0.92,185.86,255.58,0,797,32.125,0.99,426,455,532,561,FALSE,MTB_20190208_PICTS_190208-0002,14 Glycerol Test_5200-3196_190211-105756,air bubble
310,51,3,5.459,31.375,627,95.25,0.93,200.47,261.25,0,798,30.625,0.99,785,813,754,781,FALSE,MTB_20190208_PICTS_190208-0002,14 Glycerol Test_5200-3196_190211-105756,air bubble
312,52,1,5.569,19.875,301,69.11,0.89,301.4,277.36,13,798,19.625,0.96,829,847,91,110,FALSE,MTB_20190208_PICTS_190208-0002,14 Glycerol Test_5200-3196_190211-105756,air bubble
350,60,4,6.442,18.875,282,63.7,0.93,282.72,270.65,0,796,18.125,0.99,714,732,488,506,FALSE,MTB_20190208_PICTS_190208-0002,14 Glycerol Test_5200-3196_190211-105756,air bubble
353,61,3,6.551,22.375,365,72.53,0.93,258.5,265.78,0,793,21.375,0.98,550,571,331,351,FALSE,MTB_20190208_PICTS_190208-0002,14 Glycerol Test_5200-3196_190211-105756,air bubble
356,61,6,6.551,53.375,1554,148.47,0.94,136.68,234.15,0,798,52.375,0.99,892,935,837,880,FALSE,MTB_20190208_PICTS_190208-0002,14 Glycerol Test_5200-3196_190211-105756,air bubble
371,64,4,6.879,22.125,357,72.94,0.92,259.84,269.01,0,796,21.375,0.99,623,644,340,360,FALSE,MTB_20190208_PICTS_190208-0002,14 Glycerol Test_5200-3196_190211-105756,air bubble
391,67,5,7.207,38.625,894,116.57,0.91,187.08,260.96,0,798,38.625,0.97,26,60,515,547,FALSE,MTB_20190208_PICTS_190208-0002,14 Glycerol Test_5200-3196_190211-105756,air bubble
417,72,1,7.753,15.875,221,56.87,0.93,342,275.45,22,798,15.125,0.96,871,887,283,299,FALSE,MTB_20190208_PICTS_190208-0002,14 Glycerol Test_5200-3196_190211-105756,air bubble
457,78,3,8.408,42.875,1065,124.98,0.93,166.9,251.45,0,798,42.375,0.99,358,394,890,926,FALSE,MTB_20190208_PICTS_190208-0002,14 Glycerol Test_5200-3196_190211-105756,air bubble
489,83,3,8.954,27.375,501,87.84,0.9,238.19,271.62,0,797,26.375,0.97,1008,1033,492,516,FALSE,MTB_20190208_PICTS_190208-0002,14 Glycerol Test_5200-3196_190211-105756,air bubble
516,88,5,9.5,35.125,757,104.08,0.94,182.13,253.34,0,798,34.125,0.99,767,797,384,414,FALSE,MTB_20190208_PICTS_190208-0002,14 Glycerol Test_5200-3196_190211-105756,air bubble
517,88,6,9.5,19.875,301,66.11,0.93,266.04,266.85,0,796,18.875,0.98,638,656,483,502,FALSE,MTB_20190208_PICTS_190208-0002,14 Glycerol Test_5200-3196_190211-105756,air bubble
550,93,5,10.046,33.125,687,99.25,0.94,182.33,251.96,0,796,32.125,0.99,493,521,448,477,FALSE,MTB_20190208_PICTS_190208-0002,14 Glycerol Test_5200-3196_190211-105756,air bubble
553,94,2,10.155,79.625,3188,215.31,0.93,93.18,202.28,0,798,77.625,1,128,191,381,444,FALSE,MTB_20190208_PICTS_190208-0002,14 Glycerol Test_5200-3196_190211-105756,air bubble
567,97,1,10.482,56.375,1712,170.27,0.86,155.28,247.73,0,798,56.625,0.98,21,69,98,144,FALSE,MTB_20190208_PICTS_190208-0002,14 Glycerol Test_5200-3196_190211-105756,air bubble
654,108,3,11.684,58.625,1825,160.37,0.94,117.2,216.39,0,794,57.125,1,506,553,316,363,FALSE,MTB_20190208_PICTS_190208-0002,14 Glycerol Test_5200-3196_190211-105756,air bubble
