particle_id,frame_num,particle_num,time_stamp_s,ecd_um,area_pixels,perimeter,circularity,intensity_mean,intensity_std,intensity_min,intensity_max,max_feret_diam_um,aspect_ratio,x_left,x_right,y_top,y_bottom,edge_particle,experiment,step,type
341113,3,59,0.218,14.625,198,113.64,0.44,756.68,66.55,527,831,47.375,0.26,241,275,793,819,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
341159,4,26,0.327,12.125,155,92.57,0.48,773.94,39.01,661,831,31.625,0.36,1253,1275,577,602,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
341169,4,36,0.327,45.125,1162,283.42,0.43,468.73,239.61,45,831,84.625,0.44,1021,1086,707,758,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
341228,5,29,0.436,32.375,661,147.1,0.62,539.25,206.54,119,912,61.625,0.29,1204,1241,531,574,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
341710,12,25,1.201,11.125,139,69.63,0.6,748.45,77.89,500,831,27.375,0.26,832,858,557,565,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
342404,25,31,2.62,24.875,432,114.08,0.65,399.38,247.91,38,831,52.125,0.23,52,95,583,604,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
342437,26,5,2.729,14.125,188,78.11,0.62,676.2,141.25,275,830,27.625,0.36,363,388,70,81,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
342575,28,16,2.948,12.125,153,62.77,0.7,682.95,106.9,438,827,23.125,0.34,1055,1073,192,210,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
342672,29,50,3.057,10.625,131,67.21,0.6,719.5,88.56,434,831,29.875,0.2,908,918,928,954,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
342754,31,18,3.275,19.625,296,106.36,0.57,660.58,123.81,343,831,50.375,0.18,726,768,671,684,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
342884,33,37,3.494,19.625,300,156.95,0.39,749.96,78.7,491,831,51.375,0.55,1067,1103,827,858,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
342887,33,40,3.494,12.375,156,117.23,0.38,799.99,23.34,729,831,48.375,0.14,1053,1095,847,859,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
342908,34,11,3.603,13.875,181,81.94,0.58,726.54,88.99,468,831,30.125,0.29,665,693,95,104,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
